poor,fair,good,excellent
fixer upper,functional kitchen,move-in ready,quartz countertops
tlc,a lot of potential,meticulously cared for,luxurious kitchen
renovation needed,great starter,totally renovated,beautifully landscaped
needs work,plenty of potential,pride of ownership,custom cabinetry
major project,a world of possibilities,excellent condition,luxurious living
needing some updates,potential is there,updated bathroom,executive home
as is where is,tons of potential,updated modern kitchen,high end
bring your ideas,,renovated kitchen,superbly constructed
sweat equity,,extensively updated,granite counter tops
fire damage,,meticulous condition,media room
Bring your tool kit,,meticulously kept,custom built
a lot of 'tender loving care',,fully renovated,
opportunity for a renovator,,like-new,
,,,
,,,
,,,
,,,
,,,
,,,
,,,